COGID	MonpaBalemu	MonpaDirang	MonpaDirangDum	MonpaKalaktang	MonpaNamsu	MonpaSangti	MonpaTembang	MonpaTomko
1487		dʒ o g t a ŋ	dʒ o g t a ŋ		dʒ o k t a ŋ	dʒ o k t a ŋ	tʃ o k t̪ a ŋ	tʃ o k t̪ a ŋ
1521		tʃʰ u	tʃʰ u		tʃʰ u	tʃʰ u	tʃʰ u	tʃʰ u
1734	z i m u		z i m b u	z i m u	z e m b u	z i m b u	z i m b u	
2033	g o k p o	g o k tʃ u	g o k p o	g o k tʃʰ a m	g o k p o			g o k p a n
2172	b i l o		b i l o		b i l o	b i	b i kʰ e n	b i l o
2209	b i t i ŋ p i n l a	b i t i ŋ p e w o	b i t i ŋ p e w o	b i t i ŋ pʰ i tʃʰ a m	b i t i ŋ p æ kʰ ə n	p i t i ŋ		
2256	pʰ u l o	pʰ u l o	pʰ u l o		u kʰ e n		pʰ u a kʰ e n	pʰ u l a n
2517	ŋ a m tʃ a	ŋ a m tʃʰ a	ŋ a m tʃʰ a	n a m tʃ a ŋ	ŋ a m tʃ a		ŋ a m ts i	
2654	b o ŋ	b o ŋ	b o ŋ	b o ŋ	r a ŋ b o ŋ		b o ŋ	
2737	ɲ i z o k a	ŋ i z a	ŋ i z a		n i z a	ŋ i z a	ɲ i dʒ a	
329		tʃ a n tʃ a ɾ a n	tʃ a n tʃ a ɾ a n		tʃ a n tʃ a ɾ a n	tʃ a n tʃ a ɾ a n	tʃ a n tʃ a ɾ a n	
415	kʰ a m u ŋ		kʰ a u		kʰ a u		kʰ a u	kʰ a m u
464		t o tʃ a ŋ	t o tʃ a ŋ		t o tʃ a ŋ	t o tʃ a ŋ	t o ʃ a ŋ	
493			ɾ i d o n	ɾ i d o n	ɾ i d o n	ɾ i d o n	ɾ i d o n	
581		d u i p a	d u i p a		d u i p a	d u i p a	d u i p a	
591		n e g a ŋ	n e g a ŋ		n e g a ŋ	n e j a g a ŋ	n e g a ŋ	
627		g a ɾ a ŋ k i l i	g a ɾ a ŋ k i l i		g a ɾ a ŋ k i l i		g a ɾ a ŋ k i l i	g a ɾ a ŋ k i l i
655		s a tʃ i l a	s a tʃ i l a		s a tʃ i l a	s a tʃ i l a	s e tʃ i l a	
873		pʰ u ŋ b e	pʰ u ŋ b e		pʰ u ŋ b e	pʰ u ŋ b e	pʰ u ŋ b e	
909		pʰ e l u l a	pʰ e l u l a		pʰ e l o	pʰ e l o	pʰ e l u l a	
990		tʃ o tʃ o			tʃ o tʃ o	tʃ o tʃ o	tʃ o tʃ o	tʃ o
1013	g e s a ŋ	g e dʒ a ŋ j a			g e dʒ a ŋ		g e dʒ a ŋ	k e z a ŋ
1133		j u		j u	j u	j u	j u	
1150	s o ŋ o		z o ŋ a		s o ŋ a	s o ŋ a	s o ŋ a	
1584	g a ɾ i l a m	g a ɾ i l a m			g a ɾ i l a m	g a ɾ i l a m		g a ɾ i l a m
1594		pʰ e i tʰ u ŋ			pʰ e i tʰ u ŋ	pʰ e tʰ u ŋ	pʰ e i tʰ u ŋ	pʰ e tʰ u ŋ
1603		r a	r a		ɾ u	r a	ɾ u	
1815		b r o ŋ b u	b u ŋ p u		a t ə r o ŋ b a	b ă ɾ o ŋ b a	a t ə r o ŋ b a	
1852		kʰ o m tʰ e ɾ a ŋ	kʰ o m d̪ a ɾ a ŋ		kʰ o m d̪ a ɾ a ŋ	kʰ o m tʰ e ɾ a ŋ	kʰ o m d i r a ŋ	
1878	j u ŋ m u	j u ŋ b u	j u ŋ b u			j u ŋ b u		j u ŋ b u
1996	m u t̪ i r k a	m u ŋ t̪ a ŋ			m u ŋ d i r		m u ŋ d i r kʰ e n	m u ŋ d i r p a n
2007		b u	b u ʃ u		b u ʃ u	b u a t̪ a	b u a t̪ a	
2072		g e p ʃ u			g e p k a n	g e p k a n	g e p kʰ ə n	g e p a n
2100	ʃ i k a		ʃ i l o		ʃ i k a n	ʃ i k a n	ʃ i kʰ e n	
2249			z o g j a k b o		z o k j a kʰ e n	z o g j a k b o	z o k j a kʰ e n	z o g j a k b o
2285		dʒ a ŋ k u	dʒ a ŋ p o		dʒ a ŋ p o	tʃ a ŋ k u		dʒ a ŋ p a n
2302	ʃ o ŋ l a k a	ʃ o ŋ l a i			ʃ o ŋ l a kʰ a n		ʃ o ŋ l a kʰ a n	ʃ o ŋ l a l a n
2356	i p k a			i p tʃʰ a m	i p kʰ e n		i p kʰ e n	i p a n
2379			tʰ i ŋ kʰ u		tʰ i ŋ kʰ ə n	tʰ i ŋ kʰ u	tʰ i ŋ kʰ ə n	tʰ i ŋ m a n
2452	n u ŋ k a l a	n o ŋ kʰ u			n o ŋ kʰ ə n	n o ŋ kʰ u	n o ŋ tʃ u kʰ ə n	
2498	l e k aː l o	l e k a ʔ a n z u		l e k a ă n tʃʰ a m	l e k aː l o	l e k a ʔ a l o		
2588		kʰ u	kʰ u		kʰ u	kʰ u	kʰ u	
2625		b e n a m z u m	b i n a z u ŋ			b o i n a m z u ŋ	b i n a z u ŋ	i n a ŋ z u m
2709	pʰ ă j a m a	pʰ a i a m a		pʰ ă j a m a	pʰ e j a m a		pʰ a i a m a	
2766		i ŋ o m	i ŋ o m		ɲ i ŋ a m	ŋ a m tʃ a	i ŋ a m	
200		pʰ ɾ a ŋ g a	pʰ ɾ a ŋ g a			pʰ ɾ a ŋ g a	pʰ ɾ a ŋ g a	
311		d a			d a	d a	d a	
379	g u ɾ gʱ a ŋ			kʰ u r kʰ a ŋ	kʰ u r kʰ a ŋ		kʰ u r kʰ a ŋ	
518		t o ŋ tʃ e n			t o ŋ tʃ e n	t o ŋ tʃ e n	t o ŋ tʃ e n	
729		b i ŋ tʃ e n	b i ŋ tʃ e n			b i ŋ tʃ e n	b i ŋ tʃ e n	
773	g a ɾ a ŋ tʃ i ŋ n a ŋ			g ă z a ŋ tʃ i ŋ n a	g a ɾ a ŋ tʃ i ŋ n a ŋ		g a ɾ a ŋ tʃ i ŋ n a ŋ	
774		tʃ i n a ŋ	tʃ i n a ŋ			tʃ i n a ŋ		tʃ i n a ŋ
936		tʰ o ŋ	tʰ o ŋ		t o ŋ	kʰ a t o ŋ		
1042			j u ŋ p a		j u ŋ p a		j u ŋ p a	j u ŋ p a
1170		tʃʰ a tʃʰ a	tʃʰ a tʃʰ a		tʃʰ a tʃʰ a		tʃ a tʃ i	
1263		ɾ j u	ɾ j u			ɾ j u	ɾ j u	
1566	m ĭ n k a	m i n p a n		m ĭ n k a			m i ŋ kʰ e n	
1646		tʃ o	tʃ o	tʃ o			tʃ o	
1760	s a h̥	s a h̥	s a	s a				
1796	kʰ a b a ɾ a	kʰ a b a r		kʰ a b a r				pʰ a r
1906	u ɲ u	u ɲ u m o		u ɲ u		u ɲ u		
1941	u t u	u tʰ u	u tʰ u	u tʰ u				
2081		d̪ o ŋ b a	d̪ o ŋ b a			d̪ o ŋ k a n	d o ŋ kʰ e n	
2092		l e m	tʃ a m l e m b o		l e m b o	l e m b o		
2163	ŋ a t̪ k a		ŋ a t a ɲ dʒ i			ŋ a t̪ a k a n		ŋ a t p a n
2266		g ɾ a n tʃ u			g ɾ a kʰ e n	g r a k a n	g ɾ a kʰ e n	
2276		ɲ e p ʃ u		ɲ e p ă n tʃʰ a m			ɲ e p a kʰ e n	ɲ e p a n
2295			b ɾ a k o		b e kʰ e n	b ɾ a k o	b r e k a kʰ e n	
2314				k o t tʃʰ a m	g o t kʰ ə n		g o t kʰ ə n	g o t p a n
2320	tʃ o ŋ o		tʃ o ŋ a l o		tʃ o ŋ a l o		tʃ o ŋ a kʰ e n	
2338	ɲ o ɾ l a	ɲ u r tʃ u				j u r tʃ u	ɲ u r kʰ ə n	
2387		g ɾ o w a n			g ɾ o w a n	g ɾ o g a n		d r o g a n p a
2414		l u s p u z i g tʃ u		l u ʃ p u z i g tʃʰ a m	l u s p u z i g p o		l u s p u z i kʰ e n	
2443	tʃʰ i k p o		tʰ i k b o	tʰ i g tʃʰ a m				tʰ i k p a n
2462		d̪ a ŋ kʰ u				d̪ a m k u	d a ŋ kʰ ə n	tʰ a ŋ m a n
2473				z i g tʃʰ a m	z e i kʰ e n		z e i kʰ e n	z i g p a n
2607		tʃ i k p a	tʃ i k p a			tʃ i k p a		tʃ i k p a
2635		ʃ i ɾ i	ʃ i r i l a		ʃ i r a		ʃ i r a	
2645	h ă ŋ		h ă ŋ		h ă ŋ			h ă ŋ
2710			n ĭ z i	n ĭ z i		ŋ i z i		n ĭ z i
2784			z i	z i		z i		z i
2783	n a ɲ i ŋ	n a ɲ i ŋ			n a ɲ i ŋ		n a ɲ i ŋ	
2		a ʃ i			a ʃ i		a ʃ i	
66			z a m i ŋ			z a m i n		z a m i n z i m b u
72	d̪ a n		d̪ a n			d̪ a n		
135		tʃʰ i ŋ kʰ a ŋ	tʃʰ i ŋ kʰ a ŋ	tʃʰ i ŋ kʰ a ŋ				
136					g e tʃ i k	g e tʃ i	g e tʃ i k	
238	kʰ a l u			kʰ a l u				kʰ a l u
239		kʰ a w a n	kʰ a w a n			kʰ a w a n		
310	a l e j a k			a l a k				a l j a k
373	k o b i	k o b i				k o b i		
380		d̪ o ŋ p a	d̪ u ŋ p a					t o ŋ p a
446		n a ɾ i j a l			n a ɾ i j a l		n a ɾ i j a l	
454			kʰ u r l a	k u r b a n		kʰ u r l a		
590	n a			n a				n a
854	p a i pʰ u			p a i p u				p e p u
855		b e ŋ k u ɾ t a			b e ŋ k u t̪ a	b e ŋ k u t̪ a		
863	s e		s e	s e				
908	l j a k p u			l e k p u				j a k p u
962	s e m				s e m			s e m
1008		a b i tʃ a ŋ				a b i tʃ a ŋ	a i p tʃ a ŋ	
1060	kʰ o l o k p a		k o l o k p a			k o l o k p a		
1061		g u m z i ŋ			g u m z i ŋ		g u m z i ŋ	
1088	j o n			j o n				j o n
1089		j o m l o k p a ts o k			j o m l o k p a ts o k		j o m l o k p a ts o k	
1132	b ă ŋ tʃ a ŋ		b ă ŋ tʃ a ŋ					b ă ŋ tʃ a ŋ
1547	j a s			j a s				j a s
1548		pʰ e l u tʃ o k			pʰ e l u tʃ o k	pʰ e l u tʃ o k		
1576		g o ŋ ɾ i			g o ŋ ɾ i	ɾ i g o ŋ ɾ i		
1585			l a m	l a m			l a m	
1602	tʃ a			tʃ a				tʃ a
1611	ɕ i t k a l a					ʃ i k a n	z i t kʰ e n	
1612		dʒ i p a n			dʒ i d p æ n			dʒ i p a n
1628		ɾ i tʃ i k p u	ɾ i tʃ i k p u			ɾ i tʃ i k p u		
1851	kʰ u m i n			kʰ ŏ m i n				kʰ ŏ m i n
1918					o tʰ u g a ŋ p u	u t u g a m p u	u t g a m b u	
1959	u ɲ u	u ɲ u b a g m o		u ɲ u b a				
1961					o tʰ u g a ŋ p u	ʔ o ɲ u g a m p u	o i g a ŋ p u	
2045			l e j a ŋ b o		l e ŋ b o	l e j a ŋ b o		
2054		ŭ ɾ u	ŭ ɾ u			ŭ ɾ u		
2110	a l o				a l o	ʔ a l o		
2191		m a g ɾ a k a n				m a g ɾ a k a n	m a g r a kʰ e n	
2200	n a d̪ o k l a			n a d̪ o k tʃʰ a m				n a h a d o k p a n
2329	tʃ o k l a					tʃ o k a n	tʃ o kʰ e n	
2331			tʃ o k p o		tʃ o k p o			tʃ o k p o
2339			ŋ a ŋ ɲ i r p o		ɲ u r kʰ ə n			ɲ i r p a n
2348		l a ŋ tʃ o i	l a ŋ tʃ e			l a ŋ tʃ o i		
2404	pʰ a l o		pʰ a w o					pʰ a l o
2433		pʰ i r	pʰ i r pʰ o		pʰ i r p o k			
2483					n a m kʰ a n	n a m kʰ a n	n a m kʰ e n	
2555				g a tʃ a	k a tʃ u		k a tʃ u	
2699	tʃ a i t a ŋ p u			t a ŋ p u				s a p tʃ a t a ŋ p u
2765	i n i ŋ			i ɲ i ŋ				i n i ŋ
5						dʒ a ŋ		dʒ a ŋ
67				n a n	n a n			
74				n a n	n a n			
117					kʰ a r i		kʰ a r i	
134	dʒ a p							dʒ a p
153	l i ʃ i ŋ			l i ʃ i ŋ				
202					t o ŋ t e			t o ŋ t e
266	j i			j i				
276		dʒ a tʃ i				dʒ a ɲ tʃ i		
347	m u m t̪ o k l o m			m u m t̪ o k l o m				
388	g u w a			g o w a				
416		kʰ a m tʃ u d a ŋ				kʰ a m tʃ u d a ŋ		
445	n a ɾ i k o l							n a ɾ i k o l
463	t o			t o				
509			t̪ i n u ŋ a m tʰ u r	ŋ a m tʰ u r				
517	t i ŋ p u			t i ŋ p u				
562	s a ŋ k a			s a ŋ k a				
582	p u r tʃ i			p u r tʃ i				
580	b l a s a							b l a s a
635	a t a			a t a				
728	tʰ a ŋ p u							tʰ a ŋ p u
755		tʃ j a m t u ɾ t a	tʃ j a m t u ɾ t a					
856			k j a k p a				k j a k p a	
864		g o ŋ			g o ŋ			
865						z a s	z a s	
872	pʰ u ŋ k a			pʰ u ŋ k a				
965				tʰ i ŋ l o m			tʰ i ŋ l o m	
964			tʰ i m l u ŋ			tʰ i m l u ŋ		
989	tʃʰ a b u l a			tʃʰ a b u				
1007	d u ŋ d u ŋ m a			d u ŋ d u ŋ m a				
1014			g e s t̪ u j a			g e s t̪ u r		
1040	pʰ u i b u			pʰ o i b u				
1108	t̪ a ŋ h e p k a							t̪ a ŋ h e m p a n
1112					t a ŋ l e m		t a ŋ l e m kʰ e n	
1118		tʃʰ u i						tʰ u l i
1169	o t p a			o t p a				
1264				z o ɾ				z o ɾ
1486	p a s a g o ŋ			p a s a g o m				
1575	ɾ i j a m a			ɾ i j a m a				
1577			ɾ i				ɾ i	
1593	pʰ a i b ŭ ŋ n a ŋ			pʰ a i b ŭ ŋ n a ŋ				
1627	d̪ u l u l a			d o l u				
1629					ŋ o n b u		ŋ o n b u	
1648						ɾ i t a ŋ p u		ɾ i t a ŋ p u
1672	l e m a			l e m a				
1761					s a ʔ	s a h̥		
1773						h a ŋ a n u		h a ŋ g i n u
1770		tʃ j a ŋ			o tʃ a n			
1798					dʒ o ŋ		dʒ o ŋ	
1805	h a s o k l a							kʰ a s o
1809					tʃ i kʰ e n		tʃ i kʰ e n	
1807			tʃʰ i n l a			tʃʰ i n l a		
1879	tʃʰ e r tʃʰ e r			tʃʰ e r tʃʰ e r				
1880					j o ŋ j o ŋ		j o ŋ j o ŋ	
1924		k ɾ e m ʃ i pː a				k ɾ e m ʃ i pː a		
2006	s e m tʃ e n							s e m tʃ e n
2034						g o k u	g o kʰ e n	
2053		u n tʃ u		ŭ n tʃʰ a m				
2055					u kʰ e n		u kʰ e n	
2063		tʰ a kʰ u				tʰ a kʰ u		
2083			z a m b o		z a m b o			
2101		ʃ i n dʒ i		ʃ i n tʃʰ a m				
2140					dʒ a kʰ ə n		dʒ a kʰ ə n	
2149					n u p kʰ ə n		n u p kʰ ə n	
2158					p i r kʰ ə n		p i r kʰ ə n	
2166					g r a n dʒ a m e kʰ e n		g r a ŋ g i m e kʰ e n	
2173		b i n tʃ u		b i n tʃʰ a m				
2203					a kʰ ə n		n a kʰ ə n	
2201		n a ʃ u				n a ʃ u		
2222					ʃ e kʰ e n		ʃ e kʰ e n	
2219		ʃ e ʃ u				ʃ e ʃ u		
2268				s e m pʰ e k a				s e m pʰ e l a n
2277			ŋ j e w o			ŋ j e w o		
2296				tʰ o g tʃʰ a m				t o k p a n
2312		g o tʃ u				g o tʃ u		
2323						kʰ o d̪ i l o		kʰ o l o
2350					tʃ o kʰ ə n			tʃʰ o l a n
2358			ʔ i w o			ʔ i w o		
2397			ɾ i g a ɲ j e w o			ɾ i g a ŋ j a p ʃ o		
2407					pʰ a kʰ e n		pʰ a kʰ e n	
2416						z i k a n		z i g p a n
2422	j a k p o		j a k p o					
2445		t̪ a m tʃ u				t̪ a m tʃ u		
2463			d̪ a ŋ b a	d̪ a ŋ tʃʰ a m				
2491					pʰ a kʰ e n		pʰ aː kʰ e n	
2489		pʰ a k p o	pʰ a k p o					
2492		ʃ e ʃ u				ʃ e ʃ u		
2554		d̪ u ɾ i				d̪ u ɾ i		
2605	ɾ e d̪ a ŋ			pʰ a i ɾ e d̪ a ŋ				
2608					j a m l o k		j a m l o k	
2624	d̪ u n ts i				d u n tʃ i			
2638		p e t̪ a r				b e t̪ a r		
2646		h a ŋ j a				h a ŋ j a		
